Game,Trophy,Team,Team,First Year,Latest Year,Meetings
Notre Dame–Stanford,Legends Trophy,Notre Dame,Stanford,1925,2024,38
Notre Dame–USC,Jeweled Shillelagh,Notre Dame,USC,1926,2024,95
Ohio State–Penn State,,Ohio State,Penn State,1912,2024,40
Oklahoma State–Tulsa,,Oklahoma State,Tulsa,1914,2024,76
Ole Miss–Tulane,,Ole Miss,Tulane,1893,2023,73
Ole Miss–Vanderbilt,,Ole Miss,Vanderbilt,1894,2023,98
Oregon–Oregon State[1],Platypus Trophy,Oregon,Oregon State,1894,2024,128
Oregon–Washington,,Oregon,Washington,1900,2024,117
Pacific–San José State,Victory Bell,Pacific,San José State,1895,1995,72
Paint Bucket Bowl,,Arkansas State,Memphis,1914,2023,62
Palmetto Bowl,,Clemson,South Carolina,1896,2024,121
Penn State–Syracuse,,Penn State,Syracuse,1922,2013,71
Penn State–West Virginia,,Penn State,West Virginia,1904,2024,61
Pittsburgh–Syracuse,,Pittsburgh,Syracuse,1916,2024,80
Red River Rivalry,Golden Hat,Oklahoma,Texas,1900,2024,120
Rice–SMU,Mayor's Cup,Rice,SMU,1916,2023,91
Rice–Texas,,Rice,Texas,1914,2023,97
Rio Grande Rivalry,,New Mexico,New Mexico State,1894,2024,114
Rivalry in Dixie,,Louisiana Tech,Southern Miss,1935,2021,53
Rocky Mountain Showdown,Centennial Cup,Colorado,Colorado State,1893,2024,93
Royal Rivalry,Royal Rivalry Trophy,James Madison,Old Dominion,2011,2024,5
Rumble in the Rockies,,Colorado,Utah,1903,2024,71
Safeway Bowl,,North Texas,SMU,1922,2023,43
Sewanee–Vanderbilt,,Sewanee,Vanderbilt,1891,2024,52
Shula Bowl,Don Shula Award,Florida Atlantic,FIU,2002,2024,22
South Carolina–Tennessee,,South Carolina,Tennessee,1903,2023,42
South's Oldest Rivalry,,North Carolina,Virginia,1892,2024,129
Southwest Classic,Southwest Classic Trophy,Arkansas,Texas A&M,1903,2024,81
Stanford–USC,,Stanford,USC,1905,2023,103[2][3]
Sunflower Showdown,Governor's Cup,Kansas,Kansas State,1902,2024,122
Syracuse–UConn,,Syracuse,UConn,2004,2024,13
Syracuse–West Virginia,Ben Schwartzwalder Trophy,Syracuse,West Virginia,1945,2018,61
TCU–Texas,,TCU,Texas,1897,2023,94
TCU–Texas A&M,,TCU,Texas A&M,1897,2001,92
TCU–Texas Tech,Saddle Trophy,TCU,Texas Tech,1926,2024,67
Techmo Bowl,,Georgia Tech,Virginia Tech,1990,2024,20
Tennessee–Vanderbilt,,Tennessee,Vanderbilt,1892,2024,119
Texas–Texas Tech,Chancellor's Spurs,Texas,Texas Tech,1928,2023,73
Texas A&M–Texas Tech,,Texas A&M,Texas Tech,1927,2011,70
Textile Bowl,Textile Bowl,Clemson,NC State,1899,2024,92
The Game,,Michigan,Ohio State,1897,2024,119
The Old Mountain Feud,,Appalachian State,Marshall,1977,2024,17
Third Saturday in October,,Alabama,Tennessee,1901,2024,107
Tiger Bowl,,Auburn,LSU,1901,2023,58
UConn–UMass,,UConn,UMass,1897,2024,78
UCLA–USC,Victory Bell,UCLA,USC,1929,2024,94
Virginia Tech–West Virginia,Black Diamond Trophy,Virginia Tech,West Virginia,1912,2022,54
Virginia–Virginia Tech,Commonwealth Cup,Virginia,Virginia Tech,1895,2024,105
War on I–4,War on I–4 Trophy,South Florida,UCF,2005,2022,14
